Ueb,Ukb
0.45,0.0011
0.46,0.0020
0.47,0.0028
0.48,0.0036
0.49,0.0061
0.50,0.0079
0.51,0.0132
0.52,0.0170
0.53,0.0260
0.54,0.0382
0.55,0.0531
0.56,0.0802
0.57,0.1205
0.58,0.1742
0.59,0.2503
0.60,0.3674
