Ueb,Ukb
0.4516,0.0013
0.4599,0.0018
0.4682,0.0024
0.4811,0.0039
0.4892,0.0054
0.5020,0.0088
0.5093,0.0117
0.5210,0.0183
0.5292,0.0252
0.5390,0.0368
0.5501,0.0566
0.5604,0.0841
0.5695,0.1187
0.5805,0.1792
0.5900,0.2543
0.6000,0.3645
