1.000000000000000000e+00,3.519999999999999796e-01,5.175599999999999819e-03
2.000000000000000000e+00,3.499999999999999778e-01,5.175599999999999819e-03
3.000000000000000000e+00,3.509999999999999787e-01,5.175599999999999819e-03
4.000000000000000000e+00,3.509999999999999787e-01,5.175599999999999819e-03
5.000000000000000000e+00,3.529999999999999805e-01,5.175599999999999819e-03
6.000000000000000000e+00,3.509999999999999787e-01,5.175599999999999819e-03
7.000000000000000000e+00,3.509999999999999787e-01,5.175599999999999819e-03
8.000000000000000000e+00,3.509999999999999787e-01,5.175599999999999819e-03
9.000000000000000000e+00,3.519999999999999796e-01,5.175599999999999819e-03
1.000000000000000000e+01,3.499999999999999778e-01,5.175599999999999819e-03
